shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
12,Bum-keun Song,Jeonbuk Hyundai Motors,€1.10m ,South Korea,"Jan 1, 2018",,Jeonbuk Hyundai,,,,K League 1
12,Bum-keun Song,Jeonbuk Hyundai Motors,€1.10m ,South Korea,"Jan 1, 2016","Jan 1, 2018",Korea University,Jeonbuk Hyundai,,0.0,K League 1
12,Bum-keun Song,Jeonbuk Hyundai Motors,€1.10m ,South Korea,"Jan 1, 2013","Jan 1, 2016",Sangju S. U18,Korea University,,,K League 1
12,Bum-keun Song,Jeonbuk Hyundai Motors,€1.10m ,South Korea,"Jan 1, 2012","Jan 1, 2013",Seil MS,Sangju S. U18,,,K League 1
12,Bum-keun Song,Jeonbuk Hyundai Motors,€1.10m ,South Korea,"Jan 1, 2010","Jan 1, 2012",S. Bluewi. Yth.,Seil MS,,,K League 1
12,Bum-keun Song,Jeonbuk Hyundai Motors,€1.10m ,South Korea,,"Jan 1, 2010",Shinyongsan ES,S. Bluewi. Yth.,,,K League 1
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jul 27, 2022",,SSC Napoli,,,,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Aug 16, 2021","Jul 27, 2022",Fenerbahce,SSC Napoli,14000000.0,18050000.0,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jan 29, 2019","Aug 16, 2021",BJ Guoan,Fenerbahce,2000000.0,3000000.0,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jan 1, 2017","Jan 29, 2019",Jeonbuk Hyundai,BJ Guoan,1200000.0,5250000.0,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jul 1, 2016","Jan 1, 2017",Gyeongju KHNP,Jeonbuk Hyundai,,,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jan 1, 2015","Jul 1, 2016",Yonsei Univ.,Gyeongju KHNP,,0.0,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jan 1, 2012","Jan 1, 2015",Suwon THS,Yonsei Univ.,,,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jul 1, 2010","Jan 1, 2012",Yeoncho MS,Suwon THS,,,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jan 1, 2009","Jul 1, 2010",Nam. Haesung MS,Yeoncho MS,,,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,"Jan 1, 2007","Jan 1, 2009",Gimhae Gaya ES,Nam. Haesung MS,,,Serie A
4,Min-jae Kim,SSC Napoli,€35.00m ,South Korea,,"Jan 1, 2007",Dooryong ES,Gimhae Gaya ES,,,Serie A
24,Yu-min Cho,Daejeon Hana Citizen,€700k ,South Korea,"Jan 10, 2022",,Daejeon Hana C.,,,,K League 2
24,Yu-min Cho,Daejeon Hana Citizen,€700k ,South Korea,"Jan 11, 2018","Jan 10, 2022",Suwon FC,Daejeon Hana C.,625000.0,600000.0,K League 2
24,Yu-min Cho,Daejeon Hana Citizen,€700k ,South Korea,"Jan 1, 2015","Jan 11, 2018",Chung-Ang Uni,Suwon FC,,0.0,K League 2
24,Yu-min Cho,Daejeon Hana Citizen,€700k ,South Korea,"Jul 1, 2012","Jan 1, 2015",C. Daesung HS,Chung-Ang Uni,,,K League 2
24,Yu-min Cho,Daejeon Hana Citizen,€700k ,South Korea,"Jan 1, 2012","Jul 1, 2012",Jeonbuk H. U18,C. Daesung HS,,,K League 2
24,Yu-min Cho,Daejeon Hana Citizen,€700k ,South Korea,,"Jan 1, 2012",School Team SK,Jeonbuk H. U18,,,K League 2
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jun 30, 2023",,Al-Nassr FC,,,,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jul 6, 2022","Jun 30, 2023",Jeonbuk Hyundai,Al-Nassr FC,575000.0,,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jun 30, 2022","Jul 6, 2022",Al-Nassr FC,Jeonbuk Hyundai,600000.0,,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jul 1, 2021","Jun 30, 2022",Jeonbuk Hyundai,Al-Nassr FC,600000.0,,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Oct 6, 2020","Jul 1, 2021",Al-Nassr FC,Jeonbuk Hyundai,500000.0,,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jan 12, 2017","Oct 6, 2020",Jeonbuk Hyundai,Al-Nassr FC,900000.0,731000.0,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jul 1, 2014","Jan 12, 2017",TSG Hoffenheim,Jeonbuk Hyundai,1500000.0,1400000.0,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jan 1, 2012","Jul 1, 2014",Albirex Niigata,TSG Hoffenheim,1000000.0,1000000.0,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jan 1, 2010","Jan 1, 2012",Kyung Hee Univ.,Albirex Niigata,,0.0,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,"Jan 1, 2008","Jan 1, 2010",Shingal HS,Kyung Hee Univ.,,,K League 1
3,Jin-su Kim,Jeonbuk Hyundai Motors,€575k ,South Korea,,"Jan 1, 2008",Wonsam MS,Shingal HS,,,K League 1
15,Moon-hwan Kim,Jeonbuk Hyundai Motors,€950k ,South Korea,"Mar 18, 2022",,Jeonbuk Hyundai,,,,K League 1
15,Moon-hwan Kim,Jeonbuk Hyundai Motors,€950k ,South Korea,"Jan 12, 2021","Mar 18, 2022",LAFC,Jeonbuk Hyundai,1000000.0,,K League 1
