shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Sep 29, 2020",,Rennes,,,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Aug 19, 2019","Sep 29, 2020",Dijon,Rennes,2400000.0,10000000.0,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jul 1, 2018","Aug 19, 2019",SPAL,Dijon,2000000.0,1000000.0,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jun 30, 2018","Jul 1, 2018",Torino,SPAL,3000000.0,1500000.0,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jul 8, 2017","Jun 30, 2018",SPAL,Torino,3000000.0,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jun 30, 2017","Jul 8, 2017",Torino,SPAL,1800000.0,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jan 18, 2017","Jun 30, 2017",Salernitana,Torino,1800000.0,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jan 17, 2017","Jan 18, 2017",Torino,Salernitana,2000000.0,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Aug 31, 2016","Jan 17, 2017",Bologna,Torino,2000000.0,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jun 30, 2016","Aug 31, 2016",Torino,Bologna,2200000.0,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jul 30, 2015","Jun 30, 2016",Cesena,Torino,2200000.0,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Jun 30, 2015","Jul 30, 2015",Torino,Cesena,2000000.0,,Ligue 1
23,Alfred Gomis,Stade Rennais FC,€3.00m ,Senegal,"Aug 11, 2014","Jun 30, 2015",AS Avellino,Torino,2000000.0,,Ligue 1
